Belgium vs Egypt,P,,,,,,,,,
A. Salah-Eddine,11,,,,,,,,,
S. Rahimi,2,,,,,,,,,
Total,1000,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Qatar vs Switzerland,,,,,,,,,,
G,P,,,,,,,,,
Homam El Amin,26,,,,,,,,,
Boualem Khoukhi,35,,,,,,,,,
Yusuf Abdurisag,8,,,,,,,,,
Akram Afif,29,,,,,,,,,
Edmílson Junior,11,,,,,,,,,
Jassem Gaber,5,,,,,,,,,
Pedro Miguel,21,,,,,,,,,
Ayoub Al Oui,8,,,,,,,,,
Issa Laye,33,,,,,,,,,
Assim Madibo,21,,,,,,,,,
Mahmud Abunada,31,,,,,,,,,
Ahmed Alaa,5,,,,,,,,,
Karim Boudiaf,21,,,,,,,,,
Ahmed Fathy,17,,,,,,,,,
Mohammad Al Mannai,5,,,,,,,,,
Hassan Al Haydos,2,,,,,,,,,
R. Freuler,50,,,,,,,,,
M. Akanji,102,,,,,,,,,
D. Zakaria,56,,,,,,,,,
M. Aebischer,34,,,,,,,,,
N. Elvedi,92,,,,,,,,,
R. Rodríguez,61,,,,,,,,,
R. Vargas,29,,,,,,,,,
B. Embolo,8,,,,,,,,,
G. Xhaka,74,,,,,,,,,
D. Ndoye,20,,,,,,,,,
G. Kobel,18,,,,,,,,,
F. Rieder,5,,,,,,,,,
J. Manzambi,10,,,,,,,,,
Z. Amdouni,4,,,,,,,,,
A. Jashari,9,,,,,,,,,
M. Muheim,4,,,,,,,,,
Total,854,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
USA vs Panama,,,,,,,,,,
G,P,,,,,,,,,ps
F. Balogun,15,,,,,,,,,
M. Tillman,38,,,,,,,,,
T. Ream,90,,,,,,,,,
T. Adams,59,,,,,,,,,
S. Dest,34,,,,,,,,,
M. Freese,20,,,,,,,,,
C. Richards,84,,,,,,,,,
A. Robinson,57,,,,,,,,,
A. Freeman,74,,,,,,,,,
W. McKennie,51,,,,,,,,,
C. Pulisic,22,,,,,,,,,
S. Berhalter,28,,,,,,,,,
R. Pepi,3,,,,,,,,,
T. Weah,14,,,,,,,,,
G. Reyna,9,,,,,,,,,
J. Cáceres,31,,,,,,,,,
D. Gómez,27,,,,,,,,,
J. Alonso,36,,,,,,,,,
J. Enciso,25,,,,,,,,,
G. Gómez,29,,,,,,,,,
O. Alderete,32,,,,,,,,,
A. Sanabria,9,,,,,,,,,
A. Cubas,31,,,,,,,,,
O. Gill,25,,,,,,,,,
M. Almirón,23,,,,,,,,,
D. Bobadilla,10,,,,,,,,,
Mauricio,20,,,,,,,,,
Á. Arce,6,,,,,,,,,
G. Velázquez,3,,,,,,,,,
R. Sosa,3,,,,,,,,,
A. Romero,9,,,,,,,,,
Total,917,,,,,,,,,
